COD_UF,COD_MUNICIPIO,NOME_MUNICIPIO,POPULACAO
3500105,Adamantina,35153
3500204,Adolfo,3545
3500303,Aguaí,36981
3500402,Águas da Prata,8262
3500501,Águas de Lindóia,18908
3500550,Águas de Santa Bárbara,6142
3500600,Águas de São Pedro,3588
3500709,Agudos,37582
3500758,Alambari,6231
3500808,Alfredo Marcondes,4201
3500907,Altair,4211
3501004,Altinópolis,16221
3501103,Alto Alegre,4078
3501152,Alumínio,18903
3501202,Álvares Florence,3616
3501301,Álvares Machado,25078
3501400,Álvaro de Carvalho,5320
3501509,Alvinlândia,3251
3501608,Americana,244370
3501707,Américo Brasiliense,41545
3501806,Américo de Campos,5993
3501905,Amparo,73145
3502002,Analândia,5115
3502101,Andradina,57245
3502200,Angatuba,25724
3502309,Anhembi,6911
3502408,Anhumas,4172
3502507,Aparecida,36211
3502606,Aparecida d'Oeste,4122
3502705,Apiaí,24081
3502754,Araçariguama,23343
3502804,Araçatuba,199210
3502903,Araçoiaba da Serra,35389
3503000,Aramina,5689
3503109,Arandu,6373
3503158,Arapeí,2452
3503208,Araraquara,240542
3503307,Araras,136739
3503356,Arco-Íris,1755
3503406,Arealva,8665
3503505,Areias,3906
3503604,Areiópolis,11186
3503703,Ariranha,9851
3503802,Artur Nogueira,56247
3503901,Arujá,92453
3503950,Aspásia,1815
3504008,Assis,105768
3504107,Atibaia,145378
3504206,Auriflama,15316
3504305,Avaí,5467
3504404,Avanhandava,14063
3504503,Avaré,91792
3504602,Bady Bassitt,18013
3504701,Balbinos,6127
3504800,Bálsamo,9209
3504909,Bananal,11039
3505005,Barão de Antonina,3525
3505104,Barbosa,7532
3505203,Bariri,35844
3505302,Barra Bonita,36125
3505351,Barra do Chapéu,5794
3505401,Barra do Turvo,7606
3505500,Barretos,123546
3505609,Barrinha,33537
3505708,Barueri,279704
3505807,Bastos,20952
3505906,Batatais,63438
3506003,Bauru,381706
3506102,Bebedouro,77612
3506201,Bento de Abreu,3028
3506300,Bernardino de Campos,11168
3506359,Bertioga,66154
3506409,Bilac,8197
3506508,Birigui,126094
3506607,Biritiba Mirim,33265
3506706,Boa Esperança do Sul,15111
