cod_cidade;cidade;termo;frequencia
3542404;Regente Feijó;(avenida|av\.|\sav\s);181
3542404;Regente Feijó;creche\s;857
3542404;Regente Feijó;distrito;61
3542404;Regente Feijó;vila;129
3542404;Regente Feijó;bairro;361
3542404;Regente Feijó;hospital;532
3542404;Regente Feijó;praca;843
3542404;Regente Feijó;estadio;108
3542404;Regente Feijó;ginasio;304
3542404;Regente Feijó;escola(s)?\s;929
3542404;Regente Feijó;conjunto habitacional;42
3542404;Regente Feijó;parque;117
3542404;Regente Feijó;(jardim|jd\.);144
3542404;Regente Feijó;biblioteca;76
3542404;Regente Feijó;quadra;92
3542404;Regente Feijó;ponte;134
3542404;Regente Feijó;cemiterio;120
3542404;Regente Feijó;(travessa|trav\.);16
3542404;Regente Feijó;ladeira;11


